"","replication","arrivals","mean_wait_time_doctor","mean_time_with_doctor","utilisation_doctor","mean_queue_length_doctor","mean_time_in_system","mean_patients_in_system","scenario","interarrival_time","number_of_doctors"
"19",4,5,0.902188713603465,7.96236059433145,0.450437138173803,0.39620588040778,8.86454930793492,1.36344539200098,4,7,3
"20",5,4,0,8.75319926647822,0.334078654444645,0,7.92629163728384,0.805322907542549,4,7,3
"21",1,3,0,20.7373600639455,0.403388979803167,0,8.98636900750407,1.2630192511198,5,8,3
"22",2,5,0,16.5574421541503,0.45251483620918,0,9.46694685601756,1.18476566030451,5,8,3
"23",3,7,0,11.3049304313768,0.448558620271892,0,3.88244258790257,1.89768614749308,5,8,3
"24",4,6,0,6.93228108436864,0.368974452479872,0,4.75134122009413,1.0837229974808,5,8,3
"25",5,3,0,9.56375855949246,0.290228283672226,0,7.92629163728384,0.597427430622023,5,8,3
"26",1,11,0.287301651556923,8.97926320076876,0.738898868777716,0,5.07242083049013,2.05111951274195,6,4,4
"27",2,7,0,11.3224306799433,0.55897782499027,0,5.72293190215371,1.94714753305508,6,4,4
"28",3,10,0.327944278635761,13.8914350909408,0.819243419195443,0,11.073710419202,2.37087107986638,6,4,4
"29",4,6,0,7.15585849053038,0.335223788241535,0,6.21279663257051,0.921888223662588,6,4,4
"30",5,8,0,9.29912787076733,0.346547024351926,0,7.06211699253691,1.60754291972553,6,4,4
"31",1,9,0,14.3614973366588,0.556458048729193,0,5.90944596317287,2.06940528433162,7,5,4
"32",2,8,0,10.902873373396,0.520943207610796,0,5.04012203132501,1.66355694726373,7,5,4
"33",3,8,0.100219633869647,12.4912210404628,0.725814267376948,0,8.23383647659726,1.95423464288509,7,5,4
"34",4,5,0,7.22026977489858,0.32809563682194,0,8.60568669380525,0.899517986869116,7,5,4
"35",5,5,0,7.76473674106651,0.263923788103887,0,7.76473674106651,0.978208769759804,7,5,4
"36",1,4,0,16.7560113059515,0.437192554909862,0,7.59490101565919,1.68853751498219,8,6,4
"37",2,7,0,13.9512634085091,0.468577787225828,0,9.87898151170563,1.83477558170584,8,6,4
"38",3,11,0,10.9210730446125,0.506760534421778,0,5.47117043685001,2.17425712473612,8,6,4
"39",4,6,0,6.93228108436864,0.347892121908707,0,6.93228108436864,1.08974959847379,8,6,4
"40",5,4,0,8.75319926647822,0.25511045445837,0,7.92629163728384,0.987895501461961,8,6,4
"41",1,5,0,14.9288687557013,0.398215993378137,0,8.98636900750407,1.55621124428423,9,7,4
"42",2,5,0,16.5574421541503,0.359690343844817,0,9.46694685601756,1.26557645522163,9,7,4
"43",3,8,0,10.0667872620232,0.412062952400375,0,3.46866633601015,2.04597495505579,9,7,4
"44",4,6,0,6.93228108436864,0.348964625721318,0,6.93228108436864,1.26567691949025,9,7,4
"45",5,4,0,7.53904370680692,0.200348555089042,0,5.772494141106,0.533978320609176,9,7,4
"46",1,3,0,20.7373600639455,0.302541734852375,0,8.98636900750407,1.2630192511198,10,8,4
"47",2,5,0,16.5574421541503,0.339386127156885,0,9.46694685601756,1.18476566030451,10,8,4
"48",3,7,0,11.3049304313768,0.336418965203919,0,3.88244258790257,1.89768614749308,10,8,4
"49",4,6,0,6.93228108436864,0.276730839359904,0,4.75134122009413,1.0837229974808,10,8,4
"50",5,4,0,7.43749602787438,0.185937400696859,0,7.43749602787438,0.816288982957819,10,8,4
"51",1,13,0.171105139625344,9.68868447313726,0.628924357737444,0.0403351811756492,5.06357873357614,2.28312726840221,11,4,5
"52",2,7,0,11.3224306799433,0.447182259992216,0,5.72293190215371,1.94714753305508,11,4,5
"53",3,11,0.101751614374427,14.9931404292096,0.752164285773436,0,11.3293692575369,2.79762614430508,11,4,5
"54",4,6,0,7.15585849053038,0.268179030593228,0,6.21279663257051,0.921888223662588,11,4,5
"55",5,8,0,9.29912787076733,0.277237619481541,0,7.06211699253691,1.60754291972553,11,4,5
"56",1,9,0,14.3614973366588,0.445166438983355,0,5.90944596317287,2.06940528433162,12,5,5
"57",2,8,0,10.902873373396,0.416754566088637,0,5.04012203132501,1.66355694726373,12,5,5
"58",3,8,0,13.2001716097979,0.584660199256344,0,8.23383647659726,1.95423464288509,12,5,5
"59",4,5,0,7.22026977489858,0.262476509457552,0,8.60568669380525,0.899517986869116,12,5,5
"60",5,5,0,7.76473674106651,0.211139030483109,0,7.76473674106651,0.978208769759804,12,5,5
"61",1,4,0,16.7560113059515,0.34975404392789,0,7.59490101565919,1.68853751498219,13,6,5
"62",2,7,0,13.9512634085091,0.374862229780663,0,9.87898151170563,1.83477558170584,13,6,5
"63",3,11,0,10.9210730446125,0.405408427537423,0,5.47117043685001,2.17425712473612,13,6,5
"64",4,6,0,6.93228108436864,0.278313697526966,0,6.93228108436864,1.08974959847379,13,6,5
"65",5,4,0,8.75319926647822,0.204088363566696,0,7.92629163728384,0.987895501461961,13,6,5
"66",1,5,0,14.9288687557013,0.318572794702509,0,8.98636900750407,1.55621124428423,14,7,5
"67",2,5,0,16.5574421541503,0.287752275075853,0,9.46694685601756,1.26557645522163,14,7,5
"68",3,8,0,10.0667872620232,0.3296503619203,0,3.46866633601015,2.04597495505579,14,7,5
"69",4,6,0,6.93228108436864,0.279171700577055,0,6.93228108436864,1.26567691949025,14,7,5
"70",5,4,0,7.53904370680692,0.160278844071233,0,5.772494141106,0.533978320609176,14,7,5
"71",1,3,0,20.7373600639455,0.2420333878819,0,8.98636900750407,1.2630192511198,15,8,5
"72",2,5,0,16.5574421541503,0.271508901725508,0,9.46694685601756,1.18476566030451,15,8,5
"73",3,7,0,11.3049304313768,0.269135172163135,0,3.88244258790257,1.89768614749308,15,8,5
"74",4,6,0,6.93228108436864,0.221384671487923,0,4.75134122009413,1.0837229974808,15,8,5
"75",5,4,0,7.43749602787438,0.148749920557488,0,7.43749602787438,0.816288982957819,15,8,5
