"","replication","arrivals","mean_wait_time_doctor","mean_time_with_doctor","utilisation_doctor","mean_queue_length_doctor","mean_time_in_system","mean_patients_in_system","scenario","interarrival_time","number_of_doctors"
"23",3,7,0,11.3049304313768,0.423672718923223,0,3.88244258790257,1.87888447494979,5,8,3
"24",4,6,0,6.93228108436864,0.331680381604348,0,4.75134122009413,0.907116320074218,5,8,3
"25",5,3,0,9.56375855949246,0.287506917372983,0,7.92629163728384,0.563439662087347,5,8,3
"26",1,11,0.287301651556923,8.97926320076876,0.738568805562907,0,5.07242083049013,2.01387382017541,6,4,4
"27",2,7,0,11.3224306799433,0.605397144741439,0,5.72293190215371,2.10662233178706,6,4,4
"28",3,10,0.327944278635761,13.8914350909408,0.813870731268967,0,11.073710419202,2.2892631868671,6,4,4
"29",4,6,0,7.15585849053038,0.315891654995943,0,6.21279663257051,0.788715815551582,6,4,4
"30",5,8,0,9.29912787076733,0.33106234537158,0,7.06211699253691,1.53938436594974,6,4,4
"31",1,9,0,14.3614973366588,0.554889114824161,0,5.90944596317287,2.06171473714216,7,5,4
"32",2,8,0,10.902873373396,0.504824854716943,0,5.04012203132501,1.55513303771485,7,5,4
"33",3,8,0.100219633869647,12.4912210404628,0.660953414099105,0,8.23383647659726,1.69324828203538,7,5,4
"34",4,5,0,7.22026977489858,0.330790843476245,0,8.60568669380525,0.896027755741781,7,5,4
"35",5,5,0,7.76473674106651,0.286176522672631,0,7.76473674106651,1.06138872003998,7,5,4
"36",1,4,0,16.7560113059515,0.481113185804925,0,7.59490101565919,1.89387292816195,8,6,4
"37",2,7,0,13.9512634085091,0.468473338733507,0,9.87898151170563,1.83420620793255,8,6,4
"38",3,11,0,10.9210730446125,0.497636363915421,0,5.47117043685001,2.13798214627704,8,6,4
"39",4,6,0,6.93228108436864,0.439975899865497,0,6.93228108436864,1.39592980863252,8,6,4
"40",5,4,0,8.75319926647822,0.221384658380401,0,7.92629163728384,0.817645841234118,8,6,4
"41",1,5,0,14.9288687557013,0.35839528187098,0,8.98636900750407,1.3699936166038,9,7,4
"42",2,5,0,16.5574421541503,0.40100519273046,0,9.46694685601756,1.370788213608,9,7,4
"43",3,8,0,10.0667872620232,0.393049940083679,0,3.46866633601015,2.05919519733014,9,7,4
"44",4,6,0,6.93228108436864,0.350527644246664,0,6.93228108436864,1.27258382776902,9,7,4
"45",5,4,0,7.53904370680692,0.196401688353161,0,5.772494141106,0.494760979106538,9,7,4
"46",1,3,0,20.7373600639455,0.305306815553989,0,8.98636900750407,1.28135303015571,10,8,4
"47",2,5,0,16.5574421541503,0.345363961149959,0,9.46694685601756,1.199439686907,10,8,4
"48",3,7,0,11.3049304313768,0.317754539192418,0,3.88244258790257,1.87888447494979,10,8,4
"49",4,6,0,6.93228108436864,0.248760286203261,0,4.75134122009413,0.907116320074218,10,8,4
"50",5,4,0,7.43749602787438,0.277882024553305,0,7.43749602787438,1.28175519414059,10,8,4
"51",1,13,0.171105139625344,9.68868447313726,0.617891390288442,0,5.06357873357614,2.12690529162964,11,4,5
"52",2,7,0,11.3224306799433,0.484317715793151,0,5.72293190215371,2.10662233178706,11,4,5
"53",3,11,0.101751614374427,14.9931404292096,0.750108483418135,0,11.3293692575369,2.7785657811396,11,4,5
"54",4,6,0,7.15585849053038,0.252713323996755,0,6.21279663257051,0.788715815551582,11,4,5
"55",5,8,0,9.29912787076733,0.264849876297264,0,7.06211699253691,1.53938436594974,11,4,5
"56",1,9,0,14.3614973366588,0.443911291859329,0,5.90944596317287,2.06171473714216,12,5,5
"57",2,8,0,10.902873373396,0.403859883773554,0,5.04012203132501,1.55513303771485,12,5,5
"58",3,8,0,13.2001716097979,0.533719827241743,0,8.23383647659726,1.69324828203538,12,5,5
"59",4,5,0,7.22026977489858,0.264632674780996,0,8.60568669380525,0.896027755741781,12,5,5
"60",5,5,0,7.76473674106651,0.228941218138105,0,7.76473674106651,1.06138872003998,12,5,5
"61",1,4,0,16.7560113059515,0.38489054864394,0,7.59490101565919,1.89387292816195,13,6,5
"62",2,7,0,13.9512634085091,0.374778670986806,0,9.87898151170563,1.83420620793255,13,6,5
"63",3,11,0,10.9210730446125,0.398109091132337,0,5.47117043685001,2.13798214627704,13,6,5
"64",4,6,0,6.93228108436864,0.351980719892397,0,6.93228108436864,1.39592980863252,13,6,5
"65",5,4,0,8.75319926647822,0.17710772670432,0,7.92629163728384,0.817645841234118,13,6,5
"66",1,5,0,14.9288687557013,0.286716225496784,0,8.98636900750407,1.3699936166038,14,7,5
"67",2,5,0,16.5574421541503,0.320804154184368,0,9.46694685601756,1.370788213608,14,7,5
"68",3,8,0,10.0667872620232,0.314439952066943,0,3.46866633601015,2.05919519733014,14,7,5
"69",4,6,0,6.93228108436864,0.280422115397331,0,6.93228108436864,1.27258382776902,14,7,5
"70",5,4,0,7.53904370680692,0.157121350682529,0,5.772494141106,0.494760979106538,14,7,5
"71",1,3,0,20.7373600639455,0.244245452443191,0,8.98636900750407,1.28135303015571,15,8,5
"72",2,5,0,16.5574421541503,0.276291168919967,0,9.46694685601756,1.199439686907,15,8,5
"73",3,7,0,11.3049304313768,0.254203631353934,0,3.88244258790257,1.87888447494979,15,8,5
"74",4,6,0,6.93228108436864,0.199008228962609,0,4.75134122009413,0.907116320074218,15,8,5
"75",5,4,0,7.43749602787438,0.222305619642644,0,7.43749602787438,1.28175519414059,15,8,5
